1,Treeflex,137,revolutionize enterprise networks,174.53
2,Aerified,191,mesh magnetic e-services,66.75
3,Treeflex,477,grow magnetic relationships,178.26
4,Tempsoft,359,benchmark bricks-and-clicks systems,247.28
5,Veribet,278,whiteboard intuitive networks,200.4
6,Zontrax,596,evolve revolutionary deliverables,52.77
7,Duobam,229,grow viral channels,141.55
8,Bigtax,301,exploit virtual niches,222.58
9,Rank,454,architect dot-com e-business,83.07
10,Greenlam,391,architect front-end platforms,46.33
11,Bigtax,431,expedite e-business web services,146.96
12,Sonair,556,generate collaborative models,141.68
13,Zathin,6,evolve one-to-one technologies,180.66
14,Cookley,725,generate strategic content,83.38
15,Tampflex,41,facilitate viral e-markets,180.41
16,Greenlam,447,synthesize out-of-the-box e-markets,150.11
17,Keylex,607,unleash next-generation convergence,44.13
18,Ronstring,148,utilize holistic markets,68.08
19,Veribet,555,maximize bleeding-edge paradigms,74.54
20,Quo Lux,251,aggregate distributed experiences,56.01
21,Sonair,750,morph wireless convergence,162.44
22,Zathin,486,disintermediate 24/365 experiences,79.26
23,Otcom,52,incentivize holistic deliverables,151.27
24,Voltsillam,322,monetize compelling convergence,46.43
25,Quo Lux,51,transform holistic users,43.02
26,Mat Lam Tam,414,matrix best-of-breed convergence,41.91
27,Tres-Zap,697,extend integrated vortals,57.73
28,Veribet,552,reintermediate ubiquitous vortals,238.17
29,Viva,417,harness distributed action-items,209.09
30,Viva,44,unleash dynamic initiatives,119.05
31,Konklab,222,monetize mission-critical platforms,85.99
32,Latlux,358,morph virtual ROI,162.42
33,Transcof,764,transform bleeding-edge e-tailers,236.91
34,Konklab,502,drive cutting-edge content,53.57
35,Bamity,592,syndicate plug-and-play convergence,158.53
36,Tres-Zap,642,harness web-enabled bandwidth,129.66
37,Redhold,423,embrace integrated partnerships,122.74
38,Zamit,49,productize frictionless initiatives,177.02
39,Stronghold,112,drive next-generation systems,157.0
40,Biodex,228,cultivate magnetic paradigms,247.19
41,Zamit,91,transform synergistic niches,124.7
42,Cardguard,565,deploy front-end interfaces,200.19
43,Otcom,721,expedite 24/7 portals,123.42
44,Namfix,728,generate frictionless metrics,109.47
45,Voltsillam,557,transition viral synergies,184.32
46,Kanlam,189,engineer open-source experiences,217.51
47,Bigtax,500,brand integrated channels,91.41
48,Tampflex,167,extend collaborative partnerships,79.31
49,Daltfresh,407,synthesize impactful functionalities,82.34
50,Duobam,284,transition sexy action-items,46.55
51,Regrant,459,redefine turn-key architectures,189.32
52,Veribet,367,seize real-time platforms,232.59
53,Quo Lux,249,target innovative experiences,77.96
54,Andalax,551,mesh front-end eyeballs,143.9
55,Otcom,639,benchmark open-source communities,90.0
56,Tresom,83,implement revolutionary markets,216.68
57,Temp,298,maximize world-class metrics,102.89
58,Tres-Zap,419,whiteboard front-end e-business,184.53
59,Duobam,205,visualize extensible functionalities,210.94
60,Fix San,593,mesh value-added architectures,106.54
61,Alphazap,640,iterate viral networks,159.94
